Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref.spectrum (6th),Max trnasmission Ref.spec.(dB),Rsq of IV,I at -1V,I at 1V
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:15:38 2019,process LMZ,0.1,B2,ykim,-1,-1,0,No error,1550,0.9984335303469641,-7.851665884256363,0.9999969185794199,2.603237000000056e-08,0.00670170500003908
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:21:45 2019,process LMZ,0.1,B2,ykim,-1,-3,0,No error,1550,0.9972272273843646,-9.054540626704693,0.9999949422637171,4.8908190000001116e-08,0.006328398000054645
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:22:17 2019,process LMZ,0.1,B2,ykim,-1,3,0,No error,1550,0.9971718164692986,-9.487247705459595,0.9999952168247883,4.591941999999953e-08,0.006375596000052157
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:51:42 2019,process LMZ,0.1,B2,ykim,-3,-3,0,No error,1550,0.9961624471794581,-8.343672543764114,0.9999945171368132,5.465495000000116e-08,0.006316235000044285
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:39:43 2019,process LMZ,0.1,B2,ykim,-3,0,0,No error,1550,0.9981042222696889,-8.911820482462645,0.9999951380958686,4.8147269999999346e-08,0.006532866000058263
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:28:35 2019,process LMZ,0.1,B2,ykim,-3,2,0,No error,1550,0.9988762080402089,-9.515908777713776,0.9999936936615714,6.663287000000276e-08,0.006519705000050143
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:45:43 2019,process LMZ,0.1,B2,ykim,-4,-1,0,No error,1550,0.9951006275066857,-9.559254765510559,0.9999926390930065,7.783067999999998e-08,0.006401758000047099
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:57:51 2019,process LMZ,0.1,B2,ykim,0,-4,0,No error,1550,0.9971876214439725,-9.724545776844025,0.9999930944741907,6.760271000000277e-08,0.006039913000047512
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:09:27 2019,process LMZ,0.1,B2,ykim,0,0,0,No error,1550,0.9985870867769571,-7.788045674562454,0.9999984787309173,8.955286999999876e-09,0.006707282000022183
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:33:43 2019,process LMZ,0.1,B2,ykim,0,2,0,No error,1550,0.997377077848048,-8.01179975271225,0.9999956499631526,4.150557000000049e-08,0.006591849000052334
